study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	nominal_length	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	first_created
PRJEB9718	ERP010858	SAMEA3489932	ERS797081	ERX1046386	ERR969428	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	219040	16171761	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:970-3	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-3	9535047	60ae797b7b2fa1249b343ffb4b30b279	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969428/ERR969428.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969428/ERR969428.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969428/ERR969428.fastq.gz	8487085	1c2327b695c6372809486b704ddc0c45	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969428/LG_NOX_30A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969428/LG_NOX_30A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969428/LG_NOX_30A.fastq.gz	FASTQ	9147247	9df958123e9803715e1711cd0038fe40	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969428	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969428	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969428				LG3		LG_NOX_30A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489933	ERS797082	ERX1046387	ERR969429	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	128690	9530676	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-4	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-4	6057064	cc5dab38cf66d9fffae325411222d609	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969429/ERR969429.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969429/ERR969429.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969429/ERR969429.fastq.gz	5480104	f9ba9591f8bd016617e3eaf10a6922fb	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969429/LG_NOX_60A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969429/LG_NOX_60A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969429/LG_NOX_60A.fastq.gz	FASTQ	4921750	ea3f773f183bf4bc490c01ff8c5e1d9d	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969429	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969429	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969429				LG4		LG_NOX_60A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489934	ERS797083	ERX1046388	ERR969430	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	118993	8842939	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-5	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-5	6504396	f9fe441233f4f8369081257c7d872107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969430/ERR969430.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969430/ERR969430.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969430/ERR969430.fastq.gz	6002633	6dec9bd060fc68ce9f0613d5280c9504	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969430/LG_NOX_90A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969430/LG_NOX_90A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969430/LG_NOX_90A.fastq.gz	FASTQ	4725644	cd0abcc0b22cccaffe9ad1eaea4dcf11	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969430	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969430	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969430				LG5		LG_NOX_90A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489935	ERS797084	ERX1046389	ERR969431	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	142395	10590761	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-6	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-6	7534094	6b0532baa836bf84abcc1c462984ed24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969431/ERR969431.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969431/ERR969431.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969431/ERR969431.fastq.gz	6902252	f88b214aa4d87f23b9f730d7f8234811	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969431/LG_NOX_120A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969431/LG_NOX_120A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969431/LG_NOX_120A.fastq.gz	FASTQ	5346461	7431f82d9ebdd9c0e667b306ea8f0cc6	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969431	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969431	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969431				LG6		LG_NOX_120A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489936	ERS797085	ERX1046390	ERR969432	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	348460	25946774	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-7	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:971-7	18638428	f5b255e4c3538271ece10e53eec5cfe1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969432/ERR969432.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969432/ERR969432.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969432/ERR969432.fastq.gz	17161843	aca544ac6826f5846eb296066f7c9ee2	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969432/LG_NOX_150A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969432/LG_NOX_150A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969432/LG_NOX_150A.fastq.gz	FASTQ	12640589	b23a228983f846cbbc1d45beeefabaa6	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969432	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969432	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969432				LG7		LG_NOX_150A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489937	ERS797086	ERX1046391	ERR969433	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	496870	36991599	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-8	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-8	28307571	a361aebc27d915f7d8ca1d82b04b6882	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969433/ERR969433.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969433/ERR969433.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969433/ERR969433.fastq.gz	26436349	9de3aa68b53fffed7b70499a608b9331	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969433/LG_NOX_180A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969433/LG_NOX_180A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969433/LG_NOX_180A.fastq.gz	FASTQ	19069337	09eaa3576a1cfb58bb7e962d97bc12fe	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969433	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969433	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969433				LG8		LG_NOX_180A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489938	ERS797087	ERX1046392	ERR969434	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	218358	16261672	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-9	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-9	12081601	cc5670eb20346df7092d037639195935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969434/ERR969434.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969434/ERR969434.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969434/ERR969434.fastq.gz	11154846	4ee8dac40ec094bea9566ea84e8d4db6	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969434/LG_NOX_210A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969434/LG_NOX_210A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969434/LG_NOX_210A.fastq.gz	FASTQ	8159716	023fb7aeb1efbf2c78150fa838eb5f78	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969434	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969434	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969434				LG9		LG_NOX_210A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489939	ERS797088	ERX1046393	ERR969435	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	417225	31075418	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-10	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-10	22649689	1694c57dcd2a2de82c8979513c38d20f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969435/ERR969435.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969435/ERR969435.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969435/ERR969435.fastq.gz	20852053	922c22a2d7915e1580327ae7d7fb6800	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969435/LG_NOX_240A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969435/LG_NOX_240A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969435/LG_NOX_240A.fastq.gz	FASTQ	15238440	ed1369b7c08a5231bb7592869c363cc8	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969435	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969435	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969435				LG10		LG_NOX_240A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489940	ERS797089	ERX1046394	ERR969436	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	899400	66962254	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-11	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-11	48512469	8abd735856f99d6e858a67c8b5542b01	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969436/ERR969436.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969436/ERR969436.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969436/ERR969436.fastq.gz	44769676	5f781a3a62d24a13917e4bb9981ef3fe	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969436/LG_NOX_270A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969436/LG_NOX_270A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969436/LG_NOX_270A.fastq.gz	FASTQ	32917464	37a4d21d5ebc708c645b56ffce595db9	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969436	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969436	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969436				LG11		LG_NOX_270A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489941	ERS797090	ERX1046395	ERR969437	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	734355	54673228	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:972-12	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-12	38876447	c54e6520ee03b86925380b027e518599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969437/ERR969437.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969437/ERR969437.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969437/ERR969437.fastq.gz	35733700	e3493f1ba019cfdef4e89aa5bc4c0cab	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969437/LG_NOX_330A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969437/LG_NOX_330A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969437/LG_NOX_330A.fastq.gz	FASTQ	26446170	36ef40d4f7867f5e21be9ceab4e4e5b8	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969437	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969437	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969437				LG12		LG_NOX_330A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489942	ERS797091	ERX1046396	ERR969438	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	610712	45489418	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-13	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-13	32983775	5a3a589e5919717b6b81acd1a17b0fd1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969438/ERR969438.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969438/ERR969438.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969438/ERR969438.fastq.gz	30375107	a9c6861928e966058bce5778edbcff7b	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969438/LG_NOX_360A.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969438/LG_NOX_360A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969438/LG_NOX_360A.fastq.gz	FASTQ	22118370	df7348891127fc686a9d7395d8c7bcfd	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969438	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969438	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969438				LG13		LG_NOX_360A	2015-07-23
PRJEB9718	ERP010858	SAMEA3489943	ERS797092	ERX1046397	ERR969439	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	32279	2398287	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-14	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-14	1846712	691e43c463313398cf10a81510917a20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969439/ERR969439.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969439/ERR969439.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969439/ERR969439.fastq.gz	1716320	90c3cacd7f6d662df11d5dff57557456	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969439/LG_NOX_30B.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969439/LG_NOX_30B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969439/LG_NOX_30B.fastq.gz	FASTQ	1385999	08e721ac62995377a0e89b3f4fe7b041	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969439	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969439	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969439				LG14		LG_NOX_30B	2015-07-23
PRJEB9718	ERP010858	SAMEA3489944	ERS797093	ERX1046398	ERR969440	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	68632	5088879	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-15	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-15	3472260	3c18d7209af6c3bc5dcadeb77da3cdff	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969440/ERR969440.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969440/ERR969440.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969440/ERR969440.fastq.gz	3154312	caa50b77bf9bbc3387e1bb2066a7ff2c	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969440/LG_NOX_60B.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969440/LG_NOX_60B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969440/LG_NOX_60B.fastq.gz	FASTQ	2788615	41bc621755a14830ab0538c9bde1081e	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969440	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969440	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969440				LG15		LG_NOX_60B	2015-07-23
PRJEB9718	ERP010858	SAMEA3489945	ERS797094	ERX1046399	ERR969441	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	126447	9385712	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-16	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:973-16	6285325	2bcd08174d96438d53c27e67d197a19c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969441/ERR969441.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969441/ERR969441.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969441/ERR969441.fastq.gz	5703021	0705019a189b54127f0a0ee8ac400d90	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969441/LG_NOX_90B.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969441/LG_NOX_90B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969441/LG_NOX_90B.fastq.gz	FASTQ	4806553	78ae81e196e3d88951bdfa34cfac044d	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969441	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969441	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969441				LG16		LG_NOX_90B	2015-07-23
PRJEB9718	ERP010858	SAMEA3489946	ERS797095	ERX1046400	ERR969442	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	250905	18673043	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:974-17	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:974-17	13278546	234f3d3c325b5fbe224f6050c0acfc56	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969442/ERR969442.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969442/ERR969442.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969442/ERR969442.fastq.gz	12200917	073f0ebb8807d41d61229dc953996a8b	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969442/LG_NOX_120B.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969442/LG_NOX_120B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969442/LG_NOX_120B.fastq.gz	FASTQ	9196087	10918a258a7c905fbbcfa2e907c6624e	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969442	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969442	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969442				LG17		LG_NOX_120B	2015-07-23
PRJEB9718	ERP010858	SAMEA3489947	ERS797096	ERX1046401	ERR969443	ERA460552	1596	Lactobacillus gasseri	ILLUMINA	NextSeq 500	unspecified	SINGLE		WGS	GENOMIC	unspecified	460119	34256739	WEIZMANN INSTITUE OF SCIENCE	2015-07-30	2018-11-16	NextSeq 500 sequencing	Growth dynamics of gut microbiota in health and disease inferred from single metagenomic samples	ena-STUDY-WEIZMANN INSTITUE OF SCIENCE-25-06-2015-22:50:05:300-39	ena-EXPERIMENT-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:974-18	ena-RUN-WEIZMANN INSTITUE OF SCIENCE-23-07-2015-11:20:09:974-18	24742221	5fe74782602694763f22351157914626	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969443/ERR969443.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR969/ERR969443/ERR969443.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969443/ERR969443.fastq.gz	22788157	97666b06ba4dc18d3cd29d65df6d57cd	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969443/LG_NOX_150B.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR969/ERR969443/LG_NOX_150B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR969443/LG_NOX_150B.fastq.gz	FASTQ	16847572	93c2cf44569c8275b8fb1995b9e6810f	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969443	fasp.sra.ebi.ac.uk:/vol1/err/ERR969/ERR969443	ftp.sra.ebi.ac.uk/vol1/err/ERR969/ERR969443				LG18		LG_NOX_150B	2015-07-23
